Max degree of separation: 14 between James Whitmore and Donald Burton
Total degree of separation: 434216 between 87641 total pairs
Graph avg degree of separation: 4.954484773108477
50 Cent, avg degree separation 4.461016949152542
Marisa Tomei, avg degree separation 6.1084745762711865
Mark-Paul Gosselaar, avg degree separation 4.6169491525423725
Marley Shelton, avg degree separation 4.576271186440678
Martin Gabel, avg degree separation 7.667796610169492
Mary Elizabeth Winstead, avg degree separation 4.589830508474576
Mary-Louise Parker, avg degree separation 4.31864406779661
Melanie Griffith, avg degree separation 4.372881355932203
Meryl Streep, avg degree separation 4.603389830508474
Michael Biehn, avg degree separation 4.576271186440678
Michael Wincott, avg degree separation 4.447457627118644
Michelle Horn, avg degree separation 6.5152542372881355
Michelle Pfeiffer, avg degree separation 4.6169491525423725
Mickey Rourke, avg degree separation 4.277966101694915
Milla Jovovich, avg degree separation 4.501694915254237
Milo O%27Shea, avg degree separation undefined
Moon Bloodgood, avg degree separation 4.447457627118644
Morgan Freeman, avg degree separation 4.345762711864407
Nancy Cartwright, avg degree separation 7.559322033898305
Nick Nolte, avg degree separation 4.284745762711864
Nicole Kidman, avg degree separation 4.562711864406779
Nnamdi Asomugha, avg degree separation 4.603389830508474
Noah Segan, avg degree separation 4.583050847457627
Noble Willingham, avg degree separation 4.589830508474576
Olivia Williams, avg degree separation 4.603389830508474
Olympia Dukakis, avg degree separation 4.305084745762712
Omar Epps, avg degree separation 4.501694915254237
Paul Calderon, avg degree separation 6.1084745762711865
Paul Dano, avg degree separation 4.583050847457627
Paul Newman, avg degree separation 5.7016949152542376
Peter Gallagher, avg degree separation 6.96271186440678
Peter Stormare, avg degree separation 4.5152542372881355
Piper Perabo, avg degree separation 4.583050847457627
Powers Boothe, avg degree separation 4.406779661016949
Radha Mitchell, avg degree separation 4.583050847457627
Rain (singer), avg degree separation 4.461016949152542
Randy Couture, avg degree separation 4.48135593220339
Ray Liotta, avg degree separation 4.406779661016949
Ray Park, avg degree separation 4.569491525423729
Ray Stevenson (actor), avg degree separation 4.569491525423729
Reba McEntire, avg degree separation 4.386440677966101
Reginald VelJohnson, avg degree separation 4.48135593220339
Richard E. Grant, avg degree separation 9.59322033898305
Richard Gere, avg degree separation 4.603389830508474
Robert De Niro, avg degree separation 4.332203389830508
Robert Stack, avg degree separation 4.555932203389831
Robin Wright (actress), avg degree separation 4.447457627118644
Robin Wright Penn, avg degree separation 4.5423728813559325
Rodrigo Santoro, avg degree separation 6.176271186440678
Rosamund Pike, avg degree separation 4.583050847457627
Rosanna Arquette, avg degree separation 4.203389830508475
Rosario Dawson, avg degree separation 4.393220338983051
Rose McGowan, avg degree separation 4.576271186440678
Roseanne Barr, avg degree separation 4.522033898305085
Ruben Blades, avg degree separation 4.589830508474576
Sam Phillips (musician), avg degree separation 4.522033898305085
Sami Bouajila, avg degree separation 4.522033898305085
Sammi Davis, avg degree separation 6.1084745762711865
Samuel L. Jackson, avg degree separation 4.203389830508475
Sandra Bernhard, avg degree separation 9.59322033898305
Sarah Jessica Parker, avg degree separation 4.603389830508474
Scott Caan, avg degree separation 4.576271186440678
Sean Penn, avg degree separation 4.332203389830508
Seann William Scott, avg degree separation 4.569491525423729
Sebastian Koch, avg degree separation 4.596610169491526
Shia LaBeouf, avg degree separation 6.176271186440678
Sidney Poitier, avg degree separation 4.603389830508474
Sigourney Weaver, avg degree separation 4.610169491525424
Spencer Breslin, avg degree separation 4.596610169491526
Spencer Treat Clark, avg degree separation 4.5423728813559325
Stacy Ferguson, avg degree separation 4.576271186440678
Stanley Tucci, avg degree separation 4.257627118644068
Steve Austin, avg degree separation 6.196610169491525
Steve Buscemi, avg degree separation 4.332203389830508
Steve Carell, avg degree separation 4.467796610169492
Steve Irwin, avg degree separation 2.0
Steven Hill, avg degree separation 4.562711864406779
Tamlyn Tomita, avg degree separation 6.1084745762711865
Taylor Negron, avg degree separation 4.589830508474576
Terrence Howard, avg degree separation 4.603389830508474
Terri Irwin, avg degree separation 2.0
Terry Crews, avg degree separation 4.48135593220339
Texas Battle, avg degree separation 4.589830508474576
Tilda Swinton, avg degree separation 4.47457627118644
Tim Curry, avg degree separation 5.6
Tim Robbins, avg degree separation 7.613559322033899
Tim Roth, avg degree separation 4.250847457627119
Timothy Olyphant, avg degree separation 4.589830508474576
Tom Hanks, avg degree separation 4.372881355932203
Tom Sizemore, avg degree separation 4.603389830508474
Toni Collette, avg degree separation 4.603389830508474
Tony Shalhoub, avg degree separation 4.522033898305085
Tracy Morgan, avg degree separation 4.569491525423729
Uma Thurman, avg degree separation 4.3254237288135595
Valeria Golino, avg degree separation 6.1084745762711865
Ver%C3%B3nica Echegui, avg degree separation undefined
Vicki Lewis, avg degree separation 4.501694915254237
Ving Rhames, avg degree separation 4.291525423728814
Wanda Sykes, avg degree separation 4.467796610169492
Whoopi Goldberg, avg degree separation 8.779661016949152
Will Patton, avg degree separation 4.338983050847458
William Atherton, avg degree separation 4.48135593220339
William Daniels, avg degree separation 4.603389830508474
William Sadler (actor), avg degree separation 4.48135593220339
William Shatner, avg degree separation 4.393220338983051
Yuliya Snigir, avg degree separation 4.596610169491526
Zooey Deschanel, avg degree separation 4.576271186440678
